Chromosome,PosStart,PosEnd,Width,Gene
chr2,140677183,142577071,1899888,LRP1B
chr3,59787636,61294616,1506980,FHIT
chr3,118522562,119859222,1336660,LSAMP
chr3,177225512,178605522,1380010,NAALADL2
chr4,93458782,94928172,1469390,CCSER1
chr4,184404335,184499104,94769,LINC00290
chr5,59787596,61340437,1552841,PDE4D
chr6,1486810,2109239,622429,GMDS
chr6,162705911,164090900,1384989,PRKN
chr7,111981371,112880842,899471,IMMP2L
chr7,112409276,112443727,34451,LRRN3
chr9,8320802,10622037,2301235,PTPRD
chr10,51839480,53144930,1305450,PRKG1
chr14,60714392,61388926,674534,GPHN
chr16,84155175,85268915,1113740,WWOX
chr20,14044621,16102640,2058019,MACROD2
chrX,6221747,6701975,480228,PUDP
chrX,6701022,7358027,657005,STS
chrX,30695824,32937553,2241729,DMD
chrX,95123983,96044467,920484,DIAPH2
