Chromosome,PosStart,PosEnd,Type
chr10,36501611,36501626,Paper
chr10,31258279,31258286,Paper
chr10,18795913,18795926,Paper
chr10,19107602,19113634,Paper
chr10,86235642,86241675,Paper
chr11,45293001,45293015,Paper
chr11,14811186,14817215,Paper
chr11,87798140,87798153,Paper
chr12,33044047,33044056,Paper
chr12,3505742,3511775,Paper
chr12,70605667,70605677,Paper
chr12,96492891,96492905,Paper
chr12,117363768,117363781,Paper
chr13,59868144,59868159,Paper
chr13,60108636,60108644,Paper
chr13,75836517,75842545,Paper
chr14,18722598,18722611,Paper
chr14,24879421,24879438,Paper
chr14,24882628,24888656,Paper
chr14,46408148,46408157,Paper
chr14,52960779,52960796,Paper
chr14,64937064,64937086,Paper
chr15,53762363,53762380,Paper
chr15,81251564,81257529,Paper
chr15,82350092,82350107,Paper
chr16,27693365,27693378,Paper
chr17,67517216,67517235,Paper
chr18,59605378,59611410,Paper
chr18,75808061,75808066,Paper
chr19,49347276,49347290,Paper
chr1,121541609,121547640,Paper
chr1,118865558,118871587,Paper
chr1,116448629,116448643,Paper
chr1,113508925,113514957,Paper
chr1,101952978,101952992,Paper
chr1,86519117,86525144,Paper
chr1,71766337,71772369,Paper
chr1,83892815,83898845,Paper
chr1,31396439,31396452,Paper
chr1,161558493,161558508,Paper
chr1,164930321,164930334,Paper
chr1,178961228,178961243,Paper
chr1,195565433,195571466,Paper
chr1,221639765,221639779,Paper
chr20,23485650,23491681,Paper
chr21,16065069,16065083,Paper
chr22,29124725,29130757,Paper
chr2,36349759,36349775,Paper
chr2,23003721,23003737,Paper
chr2,11027870,11033901,Paper
chr2,134799647,134799656,Paper
chr2,143701403,143701417,Paper
chr2,156123989,156124015,Paper
chr2,191103300,191103313,Paper
chr3,89537203,89543229,Paper
chr3,80595598,80595611,Paper
chr3,55794732,55794744,Paper
chr3,53398268,53404297,Paper
chr3,27489901,27489913,Paper
chr3,20053089,20053105,Paper
chr3,104273094,104273107,Paper
chr3,126597995,126598008,Paper
chr3,154187781,154187792,Paper
chr3,164105023,164105039,Paper
chr3,189476096,189476113,Paper
chr4,23596458,23602474,Paper
chr4,21140983,21147079,Paper
chr4,10607030,10607045,Paper
chr5,21209650,21215683,Paper
chr4,112629280,112629296,Paper
chr4,115015884,115015897,Paper
chr4,139616079,139622132,Paper
chr4,155134761,155134774,Paper
chr5,40037810,40043829,Paper
chr5,16403532,16403545,Paper
chr5,16822117,16822130,Paper
chr5,59202566,59208658,Paper
chr5,69711063,69711079,Paper
chr5,80262833,80268858,Paper
chr5,82100696,82106724,Paper
chr5,90641494,90641506,Paper
chr5,110655052,110655063,Paper
chr5,113880046,113880059,Paper
chr5,138206270,138206285,Paper
chr6,51509607,51515021,Paper
chr6,32475234,32475235,Paper
chr6,29816368,29816378,Paper
chr6,19636525,19642585,Paper
chr6,19664531,19664545,Paper
chr6,13064131,13064148,Paper
chr6,63803294,63803305,Paper
chr6,73277051,73277066,Paper
chr6,103573173,103573181,Paper
chr6,124720515,124720523,Paper
chr6,146374011,146374023,Paper
chr6,158789717,158789730,Paper
chr7,53746398,53746412,Paper
chr7,49841283,49847333,Paper
chr7,47987720,47987732,Paper
chr7,30576940,30582994,Paper
chr7,67508958,67514989,Paper
chr7,117945373,117945392,Paper
chr7,143236446,143242490,Paper
chr8,10132244,10132258,Paper
chr8,56626326,56626337,Paper
chr9,5496525,5496536,Paper
chr9,95199102,95205160,Paper
chr9,108774320,108774334,Paper
chr9,120971841,120971853,Paper
chr9,124969369,124975397,Paper
chrX,11289793,11295827,Paper
chrX,11517638,11523875,Paper
chrX,104905227,104911261,Paper
chrX,139735885,139735899,Paper
